"bioID","pos","firstseason","lastseason","height","weight","college","collegeOther","birthDate","deathDate"
"abrahta01w","C",0,0,74.0,190,"George Washington","","1975-09-27","0000-00-00"
"abrossv01w","F",0,0,74.0,169,"Connecticut","","1980-07-09","0000-00-00"
"adairje01w","C",0,0,76.0,197,"George Washington","","1986-12-19","0000-00-00"
"adamsda01w","F-C",0,0,73.0,239,"Texas A&M","Jefferson College (JC)","1989-02-19","0000-00-00"
"adamsjo01w","C",0,0,75.0,180,"New Mexico","","1981-05-24","0000-00-00"
"adamsmi01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"adubari99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"aglerbr99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"aguilel01w","G",0,0,67.0,165,"George Washington","","1976-10-15","0000-00-00"
"ajavoma01w","G",0,0,68.0,160,"Rutgers","","1986-05-07","0000-00-00"
"alberma01w","G",0,0,64.0,0,"Ohio State","","1975-04-12","0000-00-00"
"aldrima01w","G",0,0,71.0,153,"UNC Charlotte","","1973-09-15","0000-00-00"
"alexaer01w","G",0,0,67.0,140,"California-Santa Barbara","","1975-04-25","0000-00-00"
"alhalta01w","F-G",0,0,72.0,149,"DePaul","","1974-10-17","0000-00-00"
"allench01w","G",0,0,71.0,135,"Notre Dame","","1986-07-23","0000-00-00"
"allenso99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"amachma01w","F",0,0,73.0,175,"","","1978-01-30","0000-00-00"
"ambermo01w","F",0,0,76.0,169,"Arizona State","","1970-12-21","0000-00-00"
"anderam01w","F",0,0,72.0,167,"Brigham Young","","1984-03-14","0000-00-00"
"anderch01w","C",0,0,78.0,190,"Vanderbilt","","1981-01-22","0000-00-00"
"anderjo01w","G",0,0,68.0,166,"Wisconsin","","1986-07-22","0000-00-00"
"anderke01w","G",0,0,67.0,125,"Wisconsin","","1974-05-17","0000-00-00"
"andrame01w","F",0,0,71.0,165,"Old Dominion","","1975-12-31","0000-00-00"
"angelyv01w","G",0,0,68.0,160,"Ohio State","","1963-10-14","0000-00-00"
"anosini01w","C",0,0,75.0,211,"Tennessee","","1986-02-27","0000-00-00"
"appelja01w","C",0,0,76.0,210,"Stanford","","1988-05-14","0000-00-00"
"arcaija01w","G",0,0,71.0,147,"none","","1969-04-11","0000-00-00"
"artiska01w","F",0,0,73.0,155,"Northeastern","","1973-07-09","0000-00-00"
"askamma01w","C",0,0,77.0,198,"none","","1970-08-07","0000-00-00"
"atkinla01w","G-F",0,0,72.0,172,"North Carolina","","1984-03-22","0000-00-00"
"atunrmo01w","G-F",0,0,70.0,143,"Texas A&M","","1986-04-14","0000-00-00"
"augusse01w","F",0,0,72.0,179,"Louisiana State","","1984-04-30","0000-00-00"
"aycocan01w","G-F",0,0,74.0,172,"Kansas","","1973-02-28","0000-00-00"
"ayimmi01w","F",0,0,75.0,0,"Pepperdine","","1988-05-06","0000-00-00"
"azizle01w","F",0,0,75.0,177,"Syracuse","","1979-02-28","0000-00-00"
"azzije01w","G",0,0,68.0,143,"Stanford","","1968-08-31","0000-00-00"
"badertr01w","G",0,0,64.0,125,"Boise State","","1973-02-26","0000-00-00"
"bakerla01w","G",0,0,67.0,140,"California","","1968-12-18","0000-00-00"
"bakersh01w","G",0,0,68.0,125,"Georgia","","1982-12-03","0000-00-00"
"balesal01w","C",0,0,79.0,218,"Duke","","1985-04-04","0000-00-00"
"banchrh01w","C",0,0,75.0,185,"Washington","","1973-05-01","0000-00-00"
"baranel01w","F",0,0,77.0,182,"Academy of Sport Moscow","","1972-01-28","0000-00-00"
"barksla01w","G",0,0,70.0,156,"North Carolina","","1979-10-03","0000-00-00"
"barnead01w","F",0,0,71.0,165,"Arizona","","1977-02-03","0000-00-00"
"barnequ01w","C",0,0,77.0,185,"Indiana","","1976-09-26","0000-00-00"
"bassmi01w","F",0,0,75.0,184,"Duke","","1983-12-02","0000-00-00"
"batkosu01w","C",0,0,76.0,203,"","","1980-12-17","0000-00-00"
"batteja01w","F",0,0,73.0,163,"Notre Dame","","1983-03-26","0000-00-00"
"battlas01w","F",0,0,72.0,170,"Connecticut","","1982-05-31","0000-00-00"
"bauerca01w","F-C",0,0,76.0,180,"Montana State","","1972-06-27","0000-00-00"
"beardal01w","G-F",0,0,71.0,160,"Duke","","1982-05-14","0000-00-00"
"becenry01w","G",0,0,66.0,140,"Arizona State","Scottsdale CC (JC)","1971-08-11","0000-00-00"
"beckan99wc","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"beckki01w","G",0,0,68.0,125,"George Washington","","1985-12-27","0000-00-00"
"bellje01w","F",0,0,73.0,160,"Florida International","","1970-05-26","0000-00-00"
"bennije01w","F",0,0,75.0,185,"Vanderbilt","","1981-10-06","0000-00-00"
"berezva01w","C",0,0,76.0,0,"Rice","","1986-04-10","0000-00-00"
"berggas01w","G",0,0,70.0,170,"Illinois","","1976-11-18","0000-00-00"
"berrysh01w","F-C",0,0,75.0,175,"Iowa","","1967-07-06","0000-00-00"
"berthlu01w","F-C",0,0,74.0,188,"Old Dominion","","1978-03-31","0000-00-00"
"berubca01w","F",0,0,72.0,155,"Connecticut","","1975-09-02","0000-00-00"
"beviltu01w","G",0,0,67.0,145,"","","1972-07-19","0000-00-00"
"bibbyhe01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"bibbyje01w","G",0,0,67.0,139,"","","1979-08-23","0000-00-00"
"bibrzag01w","G-F",0,0,74.0,168,"","","1982-10-21","0000-00-00"
"birdsu01w","G",0,0,69.0,150,"Connecticut","","1980-10-16","0000-00-00"
"bishoab01w","F-C",0,0,74.0,0,"","","1988-11-29","0000-00-00"
"bjedoni01w","C",0,0,78.0,195,"","","1971-05-18","0000-00-00"
"bjorkan01w","F",0,0,72.0,166,"Tennessee","","1989-07-14","0000-00-00"
"bjorkte01w","C",0,0,76.0,175,"Colorado","","1982-06-29","0000-00-00"
"blackch01w","C",0,0,77.0,188,"Duke","","1985-11-12","0000-00-00"
"blackde01w","G",0,0,63.0,124,"St. Joseph's","","1966-07-29","0000-00-00"
"bladerh01w","G",0,0,67.0,138,"Vanderbilt","","1972-10-29","0000-00-00"
"blodgci01w","G",0,0,69.0,130,"Maine","","1975-12-23","0000-00-00"
"blueni01w","G",0,0,68.0,163,"UCLA","","1984-03-29","0000-00-00"
"blueoc01w","F",0,0,73.0,163,"Miami (FL)","","1976-08-18","0000-00-00"
"bobbish01w","G",0,0,62.0,130,"Tennessee","","1985-12-06","0000-00-00"
"boddiwh01w","G",0,0,69.0,149,"Auburn","","1987-01-23","0000-00-00"
"boguemu01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"boldeba01w","G",0,0,74.0,180,"Louisiana Tech","","1969-06-16","0000-00-00"
"boltoru01w","G",0,0,69.0,150,"Auburn","","1967-05-25","0000-00-00"
"bondla01w","G",0,0,67.0,132,"Missouri","","1984-02-13","0000-00-00"
"bonfisu01w","G",0,0,68.0,145,"","","1974-09-08","0000-00-00"
"bonnede01w","G",0,0,76.0,136,"Auburn","","1987-08-21","0000-00-00"
"bookeka01w","C",0,0,73.0,170,"Vanderbilt","","1965-04-10","0000-00-00"
"bosweca01w","F-G",0,0,72.0,168,"Illinois State","","1962-11-10","0000-00-00"
"bouceje01w","G",0,0,68.0,130,"Virginia","","1973-12-20","0000-00-00"
"bouchke01w","F",0,0,74.0,163,"","","1968-01-13","0000-00-00"
"bowenli01w","G",0,0,67.0,145,"Michigan State","","1983-10-25","0000-00-00"
"boydca01w","F",0,0,73.0,172,"","","1975-10-31","0000-00-00"
"boyerli99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"bradlki01w","F-C",0,0,77.0,185,"Oral Roberts","","1974-08-26","0000-00-00"
"brancli01w","G",0,0,64.0,0,"Texas A&M","","0000-00-00","0000-00-00"
"branzal01w","F",0,0,76.0,180,"Florida International","","1971-07-17","0000-00-00"
"branzge01w","F",0,0,76.0,175,"Florida International","","1976-07-25","0000-00-00"
"braxtja01w","F-C",0,0,75.0,178,"Louisiana Tech","","1973-10-06","0000-00-00"
"braxtka01w","F-C",0,0,78.0,210,"Georgia","","1983-02-18","0000-00-00"
"brazian01w","F",0,0,74.0,169,"Texas Tech","","1976-09-18","0000-00-00"
"brcanra01w","C",0,0,80.0,198,"none","","1967-04-15","0000-00-00"
"brelaje01w","F",0,0,75.0,170,"North Carolina","","1988-02-23","0000-00-00"
"bristre01w","G",0,0,70.0,139,"Arizona","","1978-02-10","0000-00-00"
"brogami01w","F",0,0,73.0,177,"","","1973-02-08","0000-00-00"
"brondsa01w","G",0,0,67.0,136,"U. Western Sydney","","1968-08-20","0000-00-00"
"brownci01w","F-C",0,0,74.0,183,"Long Beach State","","1965-03-16","0000-00-00"
"brownco01w","G",0,0,69.0,150,"North Carolina","","1980-10-21","0000-00-00"
"brownde01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"browned01w","G-F",0,0,69.0,163,"Texas","","1978-07-01","0000-00-00"
"brownki01w","G",0,0,70.0,134,"Georgia","","1979-01-13","0000-00-00"
"brownla01w","C",0,0,75.0,180,"Louisiana Tech","","1972-12-01","0000-00-00"
"brownle01w","F",0,0,72.0,166,"Virginia","","1977-06-03","0000-00-00"
"brownru01w","F",0,0,74.0,175,"Furman","","1972-05-05","0000-00-00"
"brucegr99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"brumfma01w","G",0,0,68.0,133,"Rice","","1978-06-06","0000-00-00"
"brungje01w","F",0,0,73.0,165,"Penn State","","1982-04-16","0000-00-00"
"brunsre01w","F",0,0,75.0,175,"Georgetown","","1981-12-11","0000-00-00"
"bryanjo01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"bullevi01w","F",0,0,75.0,185,"Maryland","","1967-10-04","0000-00-00"
"burgean01w","G",0,0,67.0,141,"","","1969-04-10","0000-00-00"
"burgehe01w","C",0,0,77.0,195,"Virginia","","1971-11-11","0000-00-00"
"burgehe02w","F",0,0,77.0,180,"Virginia","","1971-11-11","0000-00-00"
"burgeli01w","F",0,0,73.0,173,"Alabama","","1969-07-27","0000-00-00"
"burraal01w","C",0,0,75.0,218,"Louisiana Tech","","1975-06-23","0000-00-00"
"burseja01w","C",0,0,77.0,199,"Tulane","","1979-05-19","0000-00-00"
"buttsta01w","G",0,0,71.0,160,"Tennessee","","1982-03-10","0000-00-00"
"byearla01w","G-F",0,0,71.0,206,"DePaul","NE Oklahoma A&M (JC)","1973-08-12","0000-00-00"
"byrdla01w","G",0,0,66.0,131,"Eastern Michigan","","1960-02-01","0000-00-00"
"cabezli01w","F-C",0,0,75.0,178,"Central Florida CC","","1973-10-25","0000-00-00"
"cainke01w","C",0,0,78.0,220,"Tennessee","","1989-05-16","0000-00-00"
"camba01w","C",0,0,80.0,215,"none","","1991-08-18","0000-00-00"
"campbed01w","G",0,0,68.0,152,"Texas","","1968-11-26","0000-00-00"
"campbmi01w","F-C",0,0,77.0,170,"USC","","1974-02-20","0000-00-00"
"cantydo01w","G-F",0,0,69.0,162,"Alabama","","1977-03-02","0000-00-00"
"careyja01w","G",0,0,66.0,135,"Texas","","1981-03-12","0000-00-00"
"carsoes01w","G-F",0,0,72.0,165,"Rutgers","","1986-07-28","0000-00-00"
"carteam01w","F",0,0,74.0,185,"Louisiana State","","1982-06-21","0000-00-00"
"cartede01w","G-F",0,0,72.0,185,"Georgia","","1972-01-03","0000-00-00"
"cartesy01w","G",0,0,66.0,0,"Texas A&M","","1990-11-18","0000-00-00"
"cashsw01w","F",0,0,73.0,162,"Connecticut","","1979-09-22","0000-00-00"
"cassija01w","C",0,0,75.0,187,"Maine","","1978-09-12","0000-00-00"
"castriz01w","F-G",0,0,72.0,140,"","","1982-03-13","0000-00-00"
"catchta01w","F",0,0,73.0,167,"Tennessee","","1979-07-21","0000-00-00"
"caufila01w","G",0,0,69.0,159,"Oklahoma","","1980-05-25","0000-00-00"
"cebriel01w","C",0,0,77.0,190,"none","","1971-02-07","0000-00-00"
"chacoke01w","G",0,0,69.0,151,"George Mason","","1974-12-21","0000-00-00"
"chambco01w","G",0,0,69.0,160,"Georgia","","1985-07-06","0000-00-00"
"chancva99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"chanequ01w","G",0,0,71.0,160,"Louisiana State","","1986-04-14","0000-00-00"
"chapmji01w","C",0,0,75.0,206,"Indiana","","1979-11-04","0000-00-00"
"charlda01w","F-C",0,0,75.0,141,"Tennessee","","1968-11-22","0000-00-00"
"charlti01w","C",0,0,76.0,198,"Connecticut","","1988-12-05","0000-00-00"
"chaseso01w","G",0,0,69.0,150,"Maryland","","1976-03-09","0000-00-00"
"chatmda99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"cheekjo01w","F",0,0,73.0,201,"Duke","","1988-06-25","0000-00-00"
"cheruam01w","G",0,0,70.0,140,"Indiana","","1970-04-18","0000-00-00"
"chestfe01w","F",0,0,75.0,180,"DePaul","","1988-03-24","0000-00-00"
"choneka01w","C",0,0,75.0,180,"North Carolina State","","1981-01-11","0000-00-00"
"chriska01w","F",0,0,74.0,171,"UC Santa Barbara","","1980-11-16","0000-00-00"
"chriska02w","F",0,0,72.0,180,"Duke","","1989-09-11","0000-00-00"
"chrissh01w","F",0,0,73.0,170,"Arkansas","","1982-02-15","0000-00-00"
"cironkr01w","G",0,0,68.0,150,"Illinois State","","1987-05-19","0000-00-00"
"clarkal01w","F",0,0,70.0,167,"Middle Tennessee State","","1987-07-07","0000-00-00"
"clarkma01w","F-C",0,0,75.0,0,"Arizona","","1971-01-01","0000-00-00"
"cleamji01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"clearmi01w","G",0,0,66.0,126,"Australian Institute of Sport","","1974-07-16","0000-00-00"
"clinest01w","G",0,0,65.0,148,"UC Santa Barbara","","1978-04-22","0000-00-00"
"coggicl01w","G",0,0,71.0,170,"Kansas State","","1985-05-19","0000-00-00"
"cokermo01w","F",0,0,73.0,180,"Old Dominion","","1982-11-28","0000-00-00"
"colemco01w","F",0,0,72.0,170,"Ohio State","","1981-04-13","0000-00-00"
"colemma01w","G-F",0,0,73.0,160,"Maryland","","1987-01-04","0000-00-00"
"colleka01w","G-F",0,0,70.0,145,"Maryland","","1971-03-17","0000-00-00"
"colsosy01w","G",0,0,68.0,140,"Texas A&M","","1989-08-06","0000-00-00"
"compame01w","G",0,0,69.0,143,"St. Joseph's","","1975-09-18","0000-00-00"
"congran01w","F-C",0,0,74.0,183,"Mercer","","1970-06-03","0000-00-00"
"conklab01w","F",0,0,75.0,175,"Tennessee","","1975-02-10","0000-00-00"
"consuca01w","G",0,0,68.0,144,"Iowa","","1979-03-04","0000-00-00"
"coopeca01w","C",0,0,76.0,176,"Purdue","","1979-02-05","0000-00-00"
"coopecy01w","G",0,0,70.0,150,"USC","","1963-04-14","0000-00-00"
"coopemi01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"cowenda01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"coylepa99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"crawlsy01w","F-C",0,0,77.0,187,"North Carolina","","1972-09-27","0000-00-00"
"crockda01w","F",0,0,73.0,158,"Baylor","","1981-02-11","0000-00-00"
"crockwi01w","F",0,0,74.0,215,"Connecticut","","1984-07-05","0000-00-00"
"cronika01w","G",0,0,72.0,155,"Colorado State","","1977-09-08","0000-00-00"
"crosssh01w","G",0,0,70.0,155,"Tennessee","","1983-09-07","0000-00-00"
"crumpca01w","G",0,0,70.0,158,"Alabama","","1962-10-29","0000-00-00"
"cummiki01w","F",0,0,75.0,188,"Long Beach State","","1963-08-29","0000-00-00"
"cunnibe01w","G",0,0,72.0,163,"Notre Dame","","1975-06-05","0000-00-00"
"cunnida01w","F",0,0,72.0,187,"Rutgers","","1980-01-27","0000-00-00"
"cunnima01w","F-C",0,0,76.0,0,"Vanderbilt","","1973-05-20","0000-00-00"
"currimo01w","F",0,0,72.0,177,"Duke","","1983-02-25","0000-00-00"
"curryed01w","G",0,0,64.0,138,"Oregon","","1979-07-09","0000-00-00"
"dailesh99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"dalesst01w","G-F",0,0,72.0,155,"Oklahoma","","1979-09-05","0000-00-00"
"daleygr01w","G",0,0,66.0,147,"Tulane","","1978-06-26","0000-00-00"
"darlihe01w","G",0,0,66.0,164,"Penn State","","1978-08-29","0000-00-00"
"darscna99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"davenje01w","C",0,0,77.0,215,"Ohio State","","1985-06-24","0000-00-00"
"davisbr01w","G",0,0,72.0,172,"Oregon","","1983-01-01","0000-00-00"
"daviscl01w","F",0,0,73.0,165,"Texas","","1967-06-04","0000-00-00"
"davisde01w","G",0,0,67.0,138,"Vanderbilt","","1984-11-08","0000-00-00"
"davisla01w","G",0,0,67.0,145,"Tennessee","","1974-10-08","0000-00-00"
"davista01w","F",0,0,70.0,160,"Washington","","1972-09-25","0000-00-00"
"davista02w","G",0,0,71.0,0,"Florida State","","1987-06-07","0000-00-00"
"dedenka01w","F",0,0,76.0,170,"Washington","","1969-09-23","0000-00-00"
"deforan01w","G",0,0,70.0,160,"Nebraska","","1976-04-14","0000-00-00"
"derevje01w","G",0,0,70.0,140,"George Mason","","1982-03-29","0000-00-00"
"desouer01w","F-C",0,0,77.0,190,"","","1982-03-03","0000-00-00"
"dickeke01w","F",0,0,71.0,165,"Texas Tech","","1978-04-20","0000-00-00"
"dillata01w","G",0,0,69.0,154,"Texas","","1981-05-06","0000-00-00"
"dixonin01w","C",0,0,75.0,0,"California","","1972-09-16","0000-00-00"
"dixonta01w","G",0,0,69.0,148,"Kansas","","1975-12-14","0000-00-00"
"doagela01w","G",0,0,66.0,137,"Nebraska","","1975-05-15","0000-00-00"
"domonna01w","G",0,0,70.0,132,"Iowa","","1975-09-28","0000-00-00"
"donapbe01w","F-C",0,0,74.0,195,"Stanford","","1980-08-27","0000-00-00"
"donovan99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"doronsh01w","G",0,0,69.0,145,"Maryland","","1985-04-01","0000-00-00"
"dossaci01w","C",0,0,77.0,187,"","","1975-01-31","0000-00-00"
"douglka01w","G-F",0,0,72.0,167,"Purdue","","1979-05-07","0000-00-00"
"duffyme01w","G",0,0,67.0,135,"Notre Dame","","1984-07-13","0000-00-00"
"dunlavi01w","F",0,0,73.0,160,"Kentucky","","1989-09-19","0000-00-00"
"dunnli99wc","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"dunntr01wc","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"dupreca01w","F",0,0,74.0,162,"Temple","","1984-08-16","0000-00-00"
"dydekka01w","F-C",0,0,79.0,190,"Evangel","","1970-03-21","0000-00-00"
"dydekma01w","C",0,0,9.0,223,"","","1974-04-28","2011-05-27"
"edwarmi01w","G",0,0,69.0,150,"Rutgers","","1966-03-06","0000-00-00"
"edwarsi01w","C",0,0,76.0,164,"Iowa","","1973-11-17","0000-00-00"
"edwarte01w","G-F",0,0,71.0,155,"Georgia","","1964-07-09","0000-00-00"
"edwarto01w","G",0,0,70.0,160,"Tennessee","","1968-03-13","0000-00-00"
"elysh01w","F",0,0,74.0,182,"Tennessee","","1983-08-09","0000-00-00"
"enissh01w","F-C",0,0,73.0,185,"Alabama","","1974-12-03","0000-00-00"
"erbsu01w","C",0,0,78.0,240,"North Carolina State","","1977-07-25","0000-00-00"
"ervinla01w","F",0,0,76.0,171,"Arkansas","","1985-03-24","0000-00-00"
"estessh99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"evansda01w","G",0,0,67.0,0,"James Madison","","1989-06-30","0000-00-00"
"evansde01w","G",0,0,64.0,125,"Virginia","","1970-10-11","0000-00-00"
"fallotr01w","G-F",0,0,75.0,165,"","","1972-07-23","0000-00-00"
"farriba01w","C-F",0,0,75.0,200,"Tulane","","1976-09-10","0000-00-00"
"feastal01w","F",0,0,71.0,168,"Harvard","","1976-02-11","0000-00-00"
"feifesu01w","G",0,0,73.0,162,"","","1979-01-29","0000-00-00"
"feldeja01w","F",0,0,73.0,0,"Southern Mississippi","","1969-10-16","0000-00-00"
"ferdima01w","G",0,0,69.0,153,"Louisiana State","","1978-10-13","0000-00-00"
"fernama01w","G",0,0,71.0,138,"","","1981-12-21","0000-00-00"
"ferrama01w","F",0,0,75.0,190,"","","1972-02-11","0000-00-00"
"figgsuk01w","G",0,0,69.0,142,"Purdue","","1977-03-31","0000-00-00"
"fijalis01w","C",0,0,77.0,200,"Colorado","","1972-05-23","0000-00-00"
"firsool01w","C",0,0,78.0,215,"Kansas State","","1976-04-23","0000-00-00"
"floremi01w","G",0,0,66.0,125,"Stanford","","1977-10-19","0000-00-00"
"flukety01w","C",0,0,77.0,209,"Tennessee","","1984-12-27","0000-00-00"
"folklkr01w","F",0,0,74.0,190,"Stanford","","1975-12-19","0000-00-00"
"fordch01w","F",0,0,75.0,198,"Louisiana Tech","","1981-06-06","0000-00-00"
"fordki01w","G-F",0,0,70.0,153,"Georgia Tech","","1975-04-04","0000-00-00"
"fordst01w","F",0,0,74.0,185,"Georgia","","1969-01-14","0000-00-00"
"fortnne99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"fostecl99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"fosteto01w","F",0,0,73.0,175,"Iowa","","1971-10-16","0000-00-00"
"fowlesy01w","C",0,0,78.0,200,"Louisiana State","","1985-10-06","0000-00-00"
"francde01w","F",0,0,70.0,193,"Iowa State","","1975-08-24","0000-00-00"
"frankaq01w","G",0,0,64.0,154,"Texas A&M","","1985-09-29","0000-00-00"
"frankba01w","F-C",0,0,0.0,0,"Wisconsin","","0000-00-00","0000-00-00"
"frazeme01w","F",0,0,75.0,191,"Liberty","","1987-03-29","0000-00-00"
"freemla01w","F",0,0,73.0,175,"Auburn","","1971-03-17","0000-00-00"
"fresest01w","G",0,0,68.0,126,"Iowa State","","1976-09-23","0000-00-00"
"frettla01w","F",0,0,75.0,170,"Georgia","","1975-06-12","0000-00-00"
"friertr01w","F",0,0,74.0,186,"Louisiana Tech","","1979-08-23","0000-00-00"
"frohlli01w","F-C",0,0,75.0,185,"","","1979-06-23","0000-00-00"
"frostsh01w","C",0,0,76.0,184,"Tennessee","","1966-12-19","0000-00-00"
"futreca01w","G",0,0,70.0,154,"Duquesne","","1982-07-10","0000-00-00"
"gaineco01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"gaithka01w","C",0,0,75.0,170,"Notre Dame","","1975-08-13","0000-00-00"
"gamblam01w","F",0,0,70.0,163,"Arizona","","1964-12-17","0000-00-00"
"ganttr01w","C",0,0,74.0,181,"Lamar","","1971-10-10","0000-00-00"
"garcibe01w","G",0,0,65.0,135,"","","1976-09-03","0000-00-00"
"gardike01w","F",0,0,73.0,168,"Virginia Tech","","1984-05-19","0000-00-00"
"gardnan01w","F-C",0,0,75.0,190,"Howard","","1979-12-23","0000-00-00"
"garnean01w","F-C",0,0,75.0,160,"Penn State","","1979-01-05","0000-00-00"
"gaydeco01w","G",0,0,69.0,150,"Louisiana State","","1971-05-11","0000-00-00"
"gaypi01w","G-F",0,0,71.0,183,"Louisiana State","","1974-08-21","0000-00-00"
"gearlka01w","G-F",0,0,73.0,184,"Purdue","","1984-10-26","0000-00-00"
"gessiki01w","F",0,0,75.0,175,"USC","","1970-12-29","0000-00-00"
"gibsoke01w","F-G",0,0,70.0,136,"Maryland","","1976-11-10","0000-00-00"
"gilbrbr01w","G",0,0,73.0,0,"USC","","1990-08-16","0000-00-00"
"gilloje01w","F-C",0,0,75.0,180,"Mississippi","","1964-06-13","0000-00-00"
"gilmous01w","G",0,0,71.0,158,"Rutgers","","1978-08-24","0000-00-00"
"gisseka01w","F",0,0,73.0,178,"Penn State","North Carolina State","1985-07-27","0000-00-00"
"givench01w","G",0,0,70.0,0,"Middle Tennessee State","","1985-07-26","0000-00-00"
"godbyli01w","F-C",0,0,78.0,163,"Auburn","","1968-10-17","0000-00-00"
"gomisem01w","G",0,0,71.0,134,"","","1983-10-18","0000-00-00"
"goodemo01w","G",0,0,66.0,130,"Stanford","","1972-02-08","0000-00-00"
"goodeti01w","F",0,0,71.0,165,"Iowa","","1975-10-23","0000-00-00"
"goodlsa01w","C",0,0,77.0,239,"Georgia Tech","","1990-08-09","0000-00-00"
"goodsad01w","F",0,0,72.0,165,"Old Dominion","","1966-10-19","0000-00-00"
"gordobr01w","F",0,0,72.0,159,"Tennessee","","1967-04-27","0000-00-00"
"goringi01w","C",0,0,79.0,225,"North Carolina State (jr-sr)","Arkansas-Fort Smith (fr-so)","1983-06-07","0000-00-00"
"gortmsh01w","G",0,0,70.0,158,"South Carolina","","1979-12-07","0000-00-00"
