"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
9,"WNBA","ATL","ATL","EA","",7,"N",0,"","","","Atlanta Dream",895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0,0,0,0,0,4,30,34,1,16,3,14,2,18,6825,141379,"Philips Arena"
10,"WNBA","ATL","ATL","EA","",2,"Y",0,"L","","","Atlanta Dream",1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0,0,0,0,0,0,18,16,34,12,5,6,11,10,12,6950,120737,"Philips Arena"
1,"WNBA","CHA","CHA","EA","",8,"N",0,"","","","Charlotte Sting",812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,0,0,0,0,0,0,8,24,32,5,11,3,13,5,16,6475,90963,"Charlotte Coliseum"
2,"WNBA","CHA","CHA","EA","",4,"Y",0,"W","W","L","Charlotte Sting",746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,0,0,0,0,0,0,18,14,32,11,5,7,9,15,6,6500,105525,"Charlotte Coliseum"
3,"WNBA","CHA","CHA","EA","",2,"Y",0,"L","","","Charlotte Sting",770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,0,0,0,0,0,0,18,14,32,11,5,7,9,12,9,6450,106670,"Charlotte Coliseum"
4,"WNBA","CHA","CHA","EA","",2,"Y",0,"L","","","Charlotte Sting",787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,0,0,0,0,0,0,18,16,34,13,4,5,12,12,12,6850,120061,"Charlotte Coliseum"
5,"WNBA","CHA","CHA","EA","",5,"N",0,"","","","Charlotte Sting",745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,0,0,0,0,0,0,16,18,34,10,7,6,11,8,12,6900,116383,"Charlotte Coliseum"
6,"WNBA","CHA","CHA","EA","",6,"N",0,"","","","Charlotte Sting",772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,0,0,0,0,0,0,6,28,34,5,12,1,16,4,16,6945,98054,"Charlotte Coliseum"
7,"WNBA","CHA","CHA","EA","",6,"N",0,"","","","Charlotte Sting",864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,0,0,0,0,0,0,11,23,34,7,10,4,13,6,14,6825,106942,"Time Warner Cable Arena"
7,"WNBA","CHI","CHI","EA","",7,"N",0,"","","","Chicago Sky",858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,0,0,0,0,0,0,5,29,34,3,14,2,15,4,16,6800,57635,"UIC Pavilion"
8,"WNBA","CHI","CHI","EA","",6,"N",0,"","","","Chicago Sky",925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,0,0,0,0,0,0,14,20,34,6,11,8,9,6,14,6972,66557,"UIC Pavilion"
9,"WNBA","CHI","CHI","EA","",5,"N",0,"","","","Chicago Sky",899,2100,564,812,110,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,0,0,0,0,0,0,12,22,34,8,9,4,13,10,10,6875,62146,"UIC Pavilion"
10,"WNBA","CHI","CHI","EA","",5,"N",0,"","","","Chicago Sky",930,2136,527,693,186,471,307,776,1083,532,605,249,532,138,2573,1004,2269,479,613,206,593,359,797,1156,610,636,273,489,121,2693,0,0,0,0,0,0,16,18,34,12,5,4,13,10,12,6825,66852,"UIC Pavilion"
1,"WNBA","CLE","CLE","EA","",2,"Y",0,"W","L","","Cleveland Rockers",809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,"Quicken Loans Arena"
2,"WNBA","CLE","CLE","EA","",1,"Y",0,"L","","","Cleveland Rockers",763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,0,0,0,0,0,0,22,10,32,14,2,8,8,15,6,6425,147373,"Quicken Loans Arena"
3,"WNBA","CLE","CLE","EA","",7,"N",0,"","","","Cleveland Rockers",760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,0,0,0,0,0,0,10,22,32,4,12,6,10,7,14,6550,149084,"Quicken Loans Arena"
4,"WNBA","CLE","CLE","EA","",4,"Y",0,"L","","","Cleveland Rockers",815,1975,464,643,135,425,349,720,1069,517,639,226,466,86,2229,809,1927,465,607,127,355,300,704,1004,510,659,223,467,135,2210,0,0,0,0,0,0,17,17,34,11,6,6,11,13,11,6825,125793,"Quicken Loans Arena"
4,"WNBA","CON","CON","EA","",3,"Y",0,"W","L","","Connecticut Sun",864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,0,0,0,0,0,0,18,16,34,10,7,8,9,11,13,6875,102433,"Mohegan Sun Arena"
5,"WNBA","CON","CON","EA","",1,"Y",0,"W","W","L","Connecticut Sun",876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,16,34,10,7,8,9,14,6,6900,114017,"Mohegan Sun Arena"
6,"WNBA","CON","CON","EA","",1,"Y",0,"W","W","W","Connecticut Sun",916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,8,34,14,3,12,5,13,7,6800,121944,"Mohegan Sun Arena"
7,"WNBA","CON","CON","EA","",1,"Y",0,"W","L","","Connecticut Sun",982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,8,34,14,3,12,5,15,5,6825,126096,"Mohegan Sun Arena"
8,"WNBA","CON","CON","EA","",3,"Y",0,"L","","","Connecticut Sun",1001,2327,478,615,195,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,0,0,0,0,0,0,18,16,34,8,9,10,7,10,10,6925,135490,"Mohegan Sun Arena"
9,"WNBA","CON","CON","EA","",2,"Y",0,"L","","","Connecticut Sun",965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951,"Mohegan Sun Arena"
10,"WNBA","CON","CON","EA","",6,"N",0,"","","","Connecticut Sun",966,2381,517,692,202,639,358,826,1184,608,677,250,453,130,2651,953,2236,591,746,157,488,329,945,1274,525,684,248,549,125,2654,0,0,0,0,0,0,16,18,34,12,5,4,13,10,12,6975,115496,"Mohegan Sun Arena"
1,"WNBA","DET","DET","EA","",5,"N",0,"","","","Detroit Shock",868,1980,519,699,76,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,0,0,0,0,0,0,14,18,32,8,8,6,10,10,11,6425,107289,"The Palace of Auburn Hills"
2,"WNBA","DET","DET","EA","",7,"N",0,"","","","Detroit Shock",774,1914,412,542,143,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,0,0,0,0,0,0,10,22,32,6,10,4,12,7,14,6550,109348,"The Palace of Auburn Hills"
3,"WNBA","DET","DET","EA","",8,"N",0,"","","","Detroit Shock",766,1919,472,651,110,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,0,0,0,0,0,0,9,23,32,7,9,2,14,6,15,6450,94171,"The Palace of Auburn Hills"
4,"WNBA","DET","DET","EA","",1,"Y",0,"W","W","W","Detroit Shock",902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,"The Palace of Auburn Hills"
5,"WNBA","DET","DET","EA","",3,"Y",0,"L","","","Detroit Shock",874,2097,556,792,62,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,0,0,0,0,0,0,17,17,34,8,9,9,8,11,9,6850,160860,"The Palace of Auburn Hills"
6,"WNBA","DET","DET","EA","",4,"Y",0,"L","","","Detroit Shock",831,2060,509,774,76,238,412,803,1215,474,761,241,571,155,2247,784,1945,565,754,154,456,273,745,1018,473,744,272,520,136,2287,0,0,0,0,0,0,16,18,34,12,5,4,13,11,9,6925,159356,"The Palace of Auburn Hills"
7,"WNBA","DET","DET","EA","",2,"Y",0,"W","W","W","Detroit Shock",919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,"The Palace of Auburn Hills"
8,"WNBA","DET","DET","EA","",1,"Y",0,"W","W","L","Detroit Shock",972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,"The Palace of Auburn Hills"
9,"WNBA","DET","DET","EA","",1,"Y",0,"W","W","W","Detroit Shock",974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,0,0,0,0,0,0,22,12,34,14,3,8,9,16,4,6875,162669,"The Palace of Auburn Hills"
10,"WNBA","DET","DET","EA","",3,"Y",0,"W","L","","Detroit Shock",980,2277,539,721,153,436,373,853,1226,575,766,261,546,97,2652,902,2201,632,813,208,611,320,781,1101,524,716,279,531,110,2644,0,0,0,0,0,0,18,16,34,11,6,7,10,11,11,6975,136069,"The Palace of Auburn Hills"
1,"WNBA","HOU","HOU","WE","",2,"Y",0,"W","W","W","Houston Comets",891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,"Compaq Center"
2,"WNBA","HOU","HOU","WE","",4,"Y",0,"L","","","Houston Comets",747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,0,0,0,0,0,0,19,13,32,11,5,8,8,13,8,6450,181115,"Compaq Center"
3,"WNBA","HOU","HOU","WE","",2,"Y",0,"L","","","Houston Comets",755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0,0,0,0,0,0,24,8,32,14,2,10,6,16,5,6425,188648,"Compaq Center"
4,"WNBA","HOU","HOU","WE","",2,"Y",0,"L","","","Houston Comets",828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,"Compaq Center"
5,"WNBA","HOU","HOU","WE","",6,"N",0,"","","","Houston Comets",798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,0,0,0,0,0,0,13,21,34,9,8,4,13,7,15,6850,137455,"Toyota Center"
6,"WNBA","HOU","HOU","WE","",3,"Y",0,"W","L","","Houston Comets",860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,0,0,0,0,0,0,19,15,34,11,6,8,9,11,11,6875,120676,"Toyota Center"
7,"WNBA","HOU","HOU","WE","",3,"Y",0,"L","","","Houston Comets",928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,"Toyota Center"
8,"WNBA","HOU","HOU","WE","",5,"N",0,"","","","Houston Comets",915,2149,554,721,126,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,0,0,0,0,0,0,13,21,34,7,10,6,11,10,12,6800,138816,"Toyota Center"
9,"WNBA","HOU","HOU","WE","",5,"N",0,"","","","Houston Comets",923,2213,563,736,152,481,376,803,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,349,743,1092,542,744,313,555,165,2606,0,0,0,0,0,0,17,17,34,13,4,4,13,10,10,6925,111951,"Toyota Center"
1,"WNBA","IND","IND","EA","",7,"N",0,"","","","Indiana Fever",796,1838,428,569,193,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,0,0,0,0,0,0,9,23,32,5,11,4,12,7,14,6425,180270,"Conseco Fieldhouse"
2,"WNBA","IND","IND","EA","",6,"N",0,"","","","Indiana Fever",762,1822,472,591,157,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,0,0,0,0,0,0,10,22,32,7,9,3,13,7,14,6475,138922,"Conseco Fieldhouse"
3,"WNBA","IND","IND","EA","",4,"Y",0,"L","","","Indiana Fever",731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,0,0,0,0,0,0,16,16,32,10,6,6,10,12,9,6425,134945,"Conseco Fieldhouse"
4,"WNBA","IND","IND","EA","",5,"N",0,"","","","Indiana Fever",839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,0,0,0,0,0,0,16,18,34,11,6,5,12,12,12,6875,141778,"Conseco Fieldhouse"
5,"WNBA","IND","IND","EA","",6,"N",0,"","","","Indiana Fever",791,2011,450,580,166,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,0,0,0,0,0,0,15,19,34,10,7,5,12,8,12,6850,128989,"Conseco Fieldhouse"
6,"WNBA","IND","IND","EA","",2,"Y",0,"W","L","","Indiana Fever",784,1958,452,595,150,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,0,0,0,0,0,0,21,13,34,14,3,7,10,14,6,6925,142494,"Conseco Fieldhouse"
7,"WNBA","IND","IND","EA","",3,"Y",0,"L","","","Indiana Fever",873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6850,122768,"Conseco Fieldhouse"
8,"WNBA","IND","IND","EA","",2,"Y",0,"W","L","","Indiana Fever",907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6875,133915,"Conseco Fieldhouse"
9,"WNBA","IND","IND","EA","",4,"Y",0,"L","","","Indiana Fever",876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,0,0,0,0,0,0,17,17,34,11,6,6,11,12,8,6950,130941,"Conseco Fieldhouse"
10,"WNBA","IND","IND","EA","",1,"Y",0,"W","W","L","Indiana Fever",890,2212,613,746,213,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,0,0,0,0,0,0,22,12,34,14,3,8,9,17,5,6925,134964,"Conseco Fieldhouse"
1,"WNBA","LAS","LAS","WE","",1,"Y",0,"W","L","","Los Angeles Sparks",861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,4,32,15,1,13,3,17,4,6450,105005,"Staples Center"
2,"WNBA","LAS","LAS","WE","",1,"Y",0,"W","W","W","Los Angeles Sparks",916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,"Staples Center"
3,"WNBA","LAS","LAS","WE","",1,"Y",0,"W","W","W","Los Angeles Sparks",891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0,0,0,0,0,0,25,7,32,12,4,13,3,17,4,6475,186410,"Staples Center"
4,"WNBA","LAS","LAS","WE","",1,"Y",0,"W","W","L","Los Angeles Sparks",894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0,0,0,0,0,0,24,10,34,11,6,13,4,17,7,6900,157934,"Staples Center"
5,"WNBA","LAS","LAS","WE","",1,"Y",0,"L","","","Los Angeles Sparks",904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,"Staples Center"
6,"WNBA","LAS","LAS","WE","",4,"Y",0,"L","","","Los Angeles Sparks",873,2042,456,630,124,387,321,683,1004,551,737,264,492,136,2326,818,1955,527,709,182,519,332,709,1041,567,654,247,544,115,2345,0,0,0,0,0,0,17,17,34,11,6,6,11,12,10,6800,150521,"Staples Center"
7,"WNBA","LAS","LAS","WE","",1,"Y",0,"W","L","","Los Angeles Sparks",962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,"Staples Center"
8,"WNBA","LAS","LAS","WE","",7,"N",0,"","","","Los Angeles Sparks",940,2305,493,627,160,456,356,783,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,2708,0,0,0,0,0,0,10,24,34,5,12,5,12,6,16,6900,147810,"Staples Center"
9,"WNBA","LAS","LAS","WE","",3,"Y",0,"W","L","","Los Angeles Sparks",954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,"Staples Center"
10,"WNBA","LAS","LAS","WE","",3,"Y",0,"W","L","","Los Angeles Sparks",973,2264,435,550,152,512,365,883,1248,587,583,217,568,166,2533,903,2262,479,623,213,636,320,730,1050,516,622,300,463,115,2498,0,0,0,0,0,0,18,16,34,11,6,7,10,11,9,6925,176587,"Staples Center"
1,"WNBA","MIA","MIA","EA","",6,"N",0,"","","","Miami Sol",647,1774,452,664,85,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,0,0,0,0,0,0,13,19,32,9,7,4,12,9,12,6475,127721,"AmericanAirlines Arena"
2,"WNBA","MIA","MIA","EA","",3,"Y",0,"L","","","Miami Sol",754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0,0,0,0,0,0,20,12,32,10,6,10,6,14,7,6575,141717,"AmericanAirlines Arena"
3,"WNBA","MIA","MIA","EA","",6,"N",0,"","","","Miami Sol",774,1856,369,529,129,389,296,573,869,476,643,274,435,96,2046,745,1722,469,614,129,382,278,693,971,446,588,222,515,104,2088,0,0,0,0,0,0,15,17,32,9,7,6,10,11,10,6475,141252,"AmericanAirlines Arena"
1,"WNBA","MIN","MIN","WE","",6,"N",0,"","","","Minnesota Lynx",770,1831,449,592,204,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,0,0,0,0,0,0,15,17,32,8,8,7,9,5,16,6425,116638,"Target Center"
2,"WNBA","MIN","MIN","WE","",6,"N",0,"","","","Minnesota Lynx",671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607,"Target Center"
3,"WNBA","MIN","MIN","WE","",8,"N",0,"","","","Minnesota Lynx",727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,0,0,0,0,0,0,10,22,32,7,9,3,13,6,15,6475,139874,"Target Center"
4,"WNBA","MIN","MIN","WE","",4,"Y",0,"L","","","Minnesota Lynx",875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253,"Target Center"
