"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
5,"WNBA","MIN","MIN","WE","",3,"Y",0,"L","","","Minnesota Lynx",767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097,"Target Center"
6,"WNBA","MIN","MIN","WE","",6,"N",0,"","","","Minnesota Lynx",801,1946,437,601,172,492,310,715,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,344,711,1055,537,665,275,487,144,2288,0,0,0,0,0,0,14,20,34,11,6,3,14,9,13,6850,113447,"Target Center"
7,"WNBA","MIN","MIN","WE","",7,"N",0,"","","","Minnesota Lynx",945,2211,485,681,148,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,0,0,0,0,0,0,10,24,34,8,9,2,15,6,14,6825,109522,"Target Center"
8,"WNBA","MIN","MIN","WE","",6,"N",0,"","","","Minnesota Lynx",971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,0,0,0,0,0,0,10,24,34,7,10,3,14,8,14,6875,121019,"Target Center"
9,"WNBA","MIN","MIN","WE","",7,"N",0,"","","","Minnesota Lynx",991,2303,652,864,133,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,0,0,0,0,0,0,16,18,34,9,8,7,10,8,12,6900,118463,"Target Center"
10,"WNBA","MIN","MIN","WE","",5,"N",0,"","","","Minnesota Lynx",949,2257,591,766,242,695,325,762,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,317,848,1165,589,694,250,543,140,2827,0,0,0,0,0,0,14,20,34,9,8,5,12,7,13,6875,128127,"Target Center"
1,"WNBA","NYL","NYL","EA","",1,"Y",0,"W","W","L","New York Liberty",792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,0,0,0,0,0,0,20,12,32,12,4,8,8,14,7,6425,231962,"Madison Square Garden (IV)"
2,"WNBA","NYL","NYL","EA","",2,"Y",0,"W","L","","New York Liberty",833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,250565,"Madison Square Garden (IV)"
3,"WNBA","NYL","NYL","EA","",1,"Y",0,"W","W","L","New York Liberty",772,1740,400,567,145,400,260,610,870,496,638,261,458,100,2089,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,2015,0,0,0,0,0,0,18,14,32,10,6,8,8,11,10,6450,234717,"Madison Square Garden (IV)"
4,"WNBA","NYL","NYL","EA","",6,"N",0,"","","","New York Liberty",825,1923,412,537,181,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,0,0,0,0,0,0,16,18,34,11,6,5,12,11,13,6850,212346,"Madison Square Garden (IV)"
5,"WNBA","NYL","NYL","EA","",2,"Y",0,"W","L","","New York Liberty",819,1932,398,531,216,617,263,741,1004,539,587,209,506,124,2252,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,2297,0,0,0,0,0,0,18,16,34,11,6,7,10,10,10,6900,168062,"Madison Square Garden (IV)"
6,"WNBA","NYL","NYL","EA","",3,"Y",0,"L","","","New York Liberty",828,1860,452,552,208,605,242,732,974,498,613,214,462,112,2316,859,2012,442,608,125,398,345,685,1030,473,590,275,411,86,2285,0,0,0,0,0,0,18,16,34,10,7,8,9,9,11,6925,172381,"Madison Square Garden (IV)"
7,"WNBA","NYL","NYL","EA","",5,"N",0,"","","","New York Liberty",822,2069,512,650,216,645,285,736,1021,475,674,252,576,112,2372,966,2153,553,722,171,461,341,832,1173,508,668,270,485,134,2656,0,0,0,0,0,0,11,23,34,7,10,4,13,7,13,6875,155048,"Madison Square Garden (IV)"
8,"WNBA","NYL","NYL","EA","",4,"Y",0,"L","","","New York Liberty",870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,0,0,0,0,0,0,16,18,34,10,7,6,11,10,10,6850,147866,"Madison Square Garden (IV)"
9,"WNBA","NYL","NYL","EA","",3,"Y",0,"W","L","","New York Liberty",912,2168,490,653,259,706,327,778,1105,551,655,290,547,117,2573,924,2163,516,674,174,485,352,823,1175,496,625,285,559,109,2538,0,0,0,0,0,0,19,15,34,11,6,8,9,11,9,6900,153772,"Madison Square Garden (IV)"
10,"WNBA","NYL","NYL","EA","",7,"N",0,"","","","New York Liberty",900,2168,458,582,254,710,280,802,1082,526,637,276,543,121,2512,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,2535,0,0,0,0,0,0,13,21,34,8,9,5,12,9,13,6900,166604,"Madison Square Garden (IV)"
1,"WNBA","ORL","CON","EA","",3,"Y",0,"L","","","Orlando Miracle",833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,0,0,0,0,0,0,16,16,32,11,5,5,11,13,8,6500,117810,"Amway Arena"
2,"WNBA","ORL","CON","EA","",5,"N",0,"","","","Orlando Miracle",768,1914,430,587,174,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,0,0,0,0,0,0,13,19,32,10,6,3,13,9,12,6450,118874,"Amway Arena"
3,"WNBA","ORL","CON","EA","",5,"N",0,"","","","Orlando Miracle",808,1914,493,646,145,461,320,595,915,446,669,295,456,113,2254,804,1862,491,668,156,422,362,684,1046,519,637,251,541,108,2255,0,0,0,0,0,0,16,16,32,10,6,6,10,13,8,6525,113837,"Amway Arena"
1,"WNBA","PHO","PHO","WE","",4,"Y",0,"L","","","Phoenix Mercury",803,1800,513,661,124,394,275,619,894,465,630,285,429,91,2243,773,1828,421,574,135,416,334,635,969,486,699,224,531,91,2102,0,0,0,0,0,0,20,12,32,11,5,9,7,11,10,6425,161075,"US Airways Center"
2,"WNBA","PHO","PHO","WE","",5,"N",0,"","","","Phoenix Mercury",767,1894,429,587,101,313,300,642,942,514,625,292,519,138,2064,785,1892,462,584,137,391,333,698,1031,524,603,283,517,127,2169,0,0,0,0,0,0,13,19,32,10,6,3,13,8,13,6450,136979,"US Airways Center"
3,"WNBA","PHO","PHO","WE","",7,"N",0,"","","","Phoenix Mercury",793,1889,405,538,100,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,0,0,0,0,0,0,11,21,32,10,6,1,15,7,14,6400,139798,"US Airways Center"
4,"WNBA","PHO","PHO","WE","",7,"N",0,"","","","Phoenix Mercury",801,2095,379,556,116,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,0,0,0,0,0,0,8,26,34,6,11,2,15,5,19,6925,144511,"US Airways Center"
5,"WNBA","PHO","PHO","WE","",5,"N",0,"","","","Phoenix Mercury",826,1922,456,598,192,519,264,652,916,501,748,282,464,137,2300,784,1845,534,724,133,348,309,711,1020,456,660,226,536,137,2235,0,0,0,0,0,0,17,17,34,10,7,7,10,11,11,6825,136295,"US Airways Center"
6,"WNBA","PHO","PHO","WE","",5,"N",0,"","","","Phoenix Mercury",826,1994,531,693,178,539,342,720,1062,549,697,243,517,179,2361,855,1993,523,720,121,332,319,705,1024,470,672,265,483,112,2354,0,0,0,0,0,0,16,18,34,11,6,5,12,12,10,6800,124146,"US Airways Center"
7,"WNBA","PHO","PHO","WE","",5,"N",0,"","","","Phoenix Mercury",1079,2434,537,684,265,722,334,811,1145,640,741,275,442,127,2960,1023,2360,630,852,203,618,408,875,1283,578,669,231,537,126,2879,0,0,0,0,0,0,18,16,34,10,7,8,9,8,12,6900,126801,"US Airways Center"
8,"WNBA","PHO","PHO","WE","",1,"Y",0,"W","W","W","Phoenix Mercury",1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,0,0,0,0,0,0,23,11,34,12,5,11,6,17,5,6850,131524,"US Airways Center"
9,"WNBA","PHO","PHO","WE","",6,"N",0,"","","","Phoenix Mercury",1069,2485,642,773,230,701,375,851,1226,560,794,232,489,156,3010,1036,2460,694,932,243,695,440,858,1298,650,717,234,500,129,3009,0,0,0,0,0,0,16,18,34,10,7,6,11,8,12,6825,144867,"US Airways Center"
10,"WNBA","PHO","PHO","WE","",1,"Y",0,"W","W","W","Phoenix Mercury",1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0,0,0,0,0,0,23,11,34,12,5,11,6,13,7,6900,144884,"US Airways Center"
1,"WNBA","POR","POR","WE","",7,"N",0,"","","","Portland Fire",761,1828,488,697,145,433,309,627,936,480,761,265,593,93,2155,788,1847,577,766,150,447,307,646,953,487,729,277,531,130,2303,0,0,0,0,0,0,10,22,32,6,10,4,12,4,17,6525,133076,"Rose Garden Arena"
2,"WNBA","POR","POR","WE","",7,"N",0,"","","","Portland Fire",733,1891,450,612,172,519,300,696,996,451,633,244,500,106,2088,791,1944,461,656,159,410,343,763,1106,501,643,293,474,144,2202,0,0,0,0,0,0,11,21,32,6,10,5,11,5,16,6525,137656,"Rose Garden Arena"
3,"WNBA","POR","POR","WE","",5,"N",0,"","","","Portland Fire",829,1951,410,564,127,391,307,641,948,492,623,239,493,120,2195,819,1885,463,647,126,348,334,678,1012,486,616,272,508,139,2227,0,0,0,0,0,0,16,16,32,9,7,7,9,8,13,6475,128656,"Rose Garden Arena"
1,"WNBA","SAC","SAC","WE","",3,"Y",0,"L","","","Sacramento Monarchs",876,1993,449,650,142,459,388,650,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,320,631,951,503,600,226,524,116,2176,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,126841,"ARCO Arena (II)"
2,"WNBA","SAC","SAC","WE","",2,"Y",0,"W","L","","Sacramento Monarchs",837,1974,457,618,163,423,374,723,1097,558,588,276,494,158,2294,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,2139,0,0,0,0,0,0,20,12,32,12,4,8,8,13,8,6525,133603,"ARCO Arena (II)"
3,"WNBA","SAC","SAC","WE","",6,"N",0,"","","","Sacramento Monarchs",780,1945,494,653,112,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,0,0,0,0,0,0,14,18,32,10,6,4,12,8,13,6575,144179,"ARCO Arena (II)"
4,"WNBA","SAC","SAC","WE","",3,"Y",0,"W","L","","Sacramento Monarchs",862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0,0,0,0,0,0,19,15,34,12,5,7,10,13,11,6825,155578,"ARCO Arena (II)"
5,"WNBA","SAC","SAC","WE","",4,"Y",0,"W","L","","Sacramento Monarchs",874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,0,0,0,0,0,0,18,16,34,10,7,8,9,12,10,6900,147544,"ARCO Arena (II)"
6,"WNBA","SAC","SAC","WE","",1,"Y",0,"W","W","W","Sacramento Monarchs",853,1986,494,721,129,360,369,674,1043,527,684,304,500,108,2329,751,1823,478,653,113,376,273,694,967,463,723,235,622,132,2093,0,0,0,0,0,0,25,9,34,15,2,10,7,17,5,6800,145213,"ARCO Arena (II)"
7,"WNBA","SAC","SAC","WE","",2,"Y",0,"W","W","L","Sacramento Monarchs",919,2190,542,741,157,461,418,720,1138,509,670,330,542,88,2537,872,2021,504,661,156,507,294,725,1019,507,687,244,633,143,2404,0,0,0,0,0,0,21,13,34,14,3,7,10,10,10,6875,147739,"ARCO Arena (II)"
8,"WNBA","SAC","SAC","WE","",3,"Y",0,"L","","","Sacramento Monarchs",901,2214,572,745,153,429,452,723,1175,537,642,325,611,101,2527,891,2081,512,664,186,547,308,718,1026,542,689,274,649,141,2480,0,0,0,0,0,0,19,15,34,12,5,7,10,12,10,6950,142575,"ARCO Arena (II)"
9,"WNBA","SAC","SAC","WE","",4,"Y",0,"L","","","Sacramento Monarchs",883,2159,611,816,168,438,388,721,1109,473,690,319,586,77,2545,958,2128,469,622,186,542,308,767,1075,581,759,267,624,206,2571,0,0,0,0,0,0,18,16,34,13,4,5,12,9,11,6800,139066,"ARCO Arena (II)"
10,"WNBA","SAC","SAC","WE","",6,"N",0,"","","","Sacramento Monarchs",946,2194,586,744,132,389,391,763,1154,540,645,289,584,98,2610,994,2221,479,586,223,604,326,702,1028,627,704,262,576,147,2690,0,0,0,0,0,0,12,22,34,7,10,5,12,6,14,6850,131654,"ARCO Arena (II)"
4,"WNBA","SAS","SAS","WE","",6,"N",0,"","","","San Antonio Silver Stars",792,2068,538,736,93,315,350,795,1145,428,728,187,513,167,2215,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,2427,0,0,0,0,0,0,12,22,34,9,8,3,14,10,14,6825,176526,"AT&T Center"
5,"WNBA","SAS","SAS","WE","",7,"N",0,"","","","San Antonio Silver Stars",812,1940,488,628,79,247,302,701,1003,493,628,272,513,106,2191,888,2003,416,564,172,469,324,710,1034,575,624,280,492,129,2364,0,0,0,0,0,0,9,25,34,6,11,3,14,6,16,6875,142717,"AT&T Center"
6,"WNBA","SAS","SAS","WE","",7,"N",0,"","","","San Antonio Silver Stars",764,1833,503,652,110,339,256,690,946,433,650,195,535,90,2141,898,2059,463,611,142,408,351,704,1055,563,685,283,429,148,2401,0,0,0,0,0,0,7,27,34,5,12,2,15,3,19,6800,135054,"AT&T Center"
7,"WNBA","SAS","SAS","WE","",6,"N",0,"","","","San Antonio Silver Stars",915,2255,504,672,189,556,354,814,1168,540,610,246,488,83,2523,974,2262,490,640,165,459,372,865,1237,560,641,254,480,129,2603,0,0,0,0,0,0,13,21,34,6,11,7,10,10,10,6800,125749,"AT&T Center"
8,"WNBA","SAS","SAS","WE","",2,"Y",0,"W","L","","San Antonio Silver Stars",923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,0,0,0,0,0,0,20,14,34,9,8,11,6,13,9,6875,128680,"AT&T Center"
9,"WNBA","SAS","SAS","WE","",1,"Y",0,"W","W","L","San Antonio Silver Stars",901,2080,561,694,183,539,246,847,1093,601,602,272,525,150,2546,904,2271,471,634,139,483,389,817,1206,500,666,278,528,109,2418,0,0,0,0,0,0,24,10,34,15,2,9,8,10,10,6850,135722,"AT&T Center"
10,"WNBA","SAS","SAS","WE","",4,"Y",0,"L","","","San Antonio Silver Stars",936,2190,487,626,256,739,281,768,1049,598,596,257,509,116,2615,1000,2279,488,620,173,499,364,824,1188,529,643,268,502,120,2661,0,0,0,0,0,0,15,19,34,10,7,5,12,10,10,6950,127957,"AT&T Center"
1,"WNBA","SEA","SEA","WE","",8,"N",0,"","","","Seattle Storm",667,1740,379,561,109,364,256,537,793,390,648,255,525,93,1822,778,1721,498,654,117,334,288,721,1009,506,618,284,529,123,2171,0,0,0,0,0,0,6,26,32,4,12,2,14,4,17,6475,142594,"KeyArena at Seattle Center"
2,"WNBA","SEA","SEA","WE","",8,"N",0,"","","","Seattle Storm",689,1821,415,606,128,412,306,585,891,412,605,273,431,127,1921,753,1750,417,559,125,325,296,756,1052,492,588,228,519,127,2048,0,0,0,0,0,0,10,22,32,5,11,5,11,6,15,6550,95257,"KeyArena at Seattle Center"
3,"WNBA","SEA","SEA","WE","",4,"Y",0,"L","","","Seattle Storm",794,1948,418,543,182,506,362,633,995,514,623,282,477,151,2188,783,1818,435,587,102,342,307,662,969,488,563,254,531,125,2103,0,0,0,0,0,0,17,15,32,10,6,7,9,10,11,6450,111774,"KeyArena at Seattle Center"
4,"WNBA","SEA","SEA","WE","",5,"N",0,"","","","Seattle Storm",890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,0,0,0,0,0,0,18,16,34,13,4,5,12,11,13,6850,120857,"KeyArena at Seattle Center"
5,"WNBA","SEA","SEA","WE","",2,"Y",0,"W","W","W","Seattle Storm",873,2025,524,676,167,439,350,709,1059,552,665,302,499,131,2437,851,1989,423,592,139,391,303,679,982,507,678,252,527,137,2264,0,0,0,0,0,0,20,14,34,13,4,7,10,13,9,6825,134291,"KeyArena at Seattle Center"
6,"WNBA","SEA","SEA","WE","",2,"Y",0,"L","","","Seattle Storm",906,2066,544,688,142,429,323,776,1099,520,657,201,516,158,2498,892,2163,490,646,133,419,334,686,1020,568,691,267,438,154,2407,0,0,0,0,0,0,20,14,34,14,3,6,11,13,9,6825,151150,"KeyArena at Seattle Center"
7,"WNBA","SEA","SEA","WE","",4,"Y",0,"L","","","Seattle Storm",961,2124,562,712,160,475,327,821,1148,514,682,232,570,127,2644,940,2218,531,707,164,484,322,709,1031,520,683,297,485,115,2575,0,0,0,0,0,0,18,16,34,9,8,9,8,10,10,6800,145664,"KeyArena at Seattle Center"
8,"WNBA","SEA","SEA","WE","",4,"Y",0,"L","","","Seattle Storm",964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,0,0,0,0,0,0,17,17,34,12,5,5,12,11,11,6825,135553,"KeyArena at Seattle Center"
9,"WNBA","SEA","SEA","WE","",2,"Y",0,"L","","","Seattle Storm",899,2112,552,728,143,453,340,822,1162,530,684,269,526,140,2493,861,2164,512,680,172,539,332,760,1092,498,674,263,515,115,2406,0,0,0,0,0,0,22,12,34,16,1,6,11,13,7,6800,140503,"KeyArena at Seattle Center"
10,"WNBA","SEA","SEA","WE","",2,"Y",0,"L","","","Seattle Storm",909,2116,555,707,171,486,316,788,1104,536,710,276,555,150,2544,882,2150,510,671,202,585,332,746,1078,517,672,275,555,131,2476,0,0,0,0,0,0,20,14,34,13,4,7,10,13,7,7025,133858,"KeyArena at Seattle Center"
1,"WNBA","UTA","SAS","WE","",5,"N",0,"","","","Utah Starzz",858,1896,609,790,88,262,348,732,1080,522,698,214,544,157,2413,860,1964,531,721,156,448,313,598,911,503,702,301,437,112,2407,0,0,0,0,0,0,18,14,32,12,4,6,10,13,8,6400,103442,"EnergySolutions Arena"
2,"WNBA","UTA","SAS","WE","",3,"Y",0,"L","","","Utah Starzz",811,1849,507,675,78,244,295,775,1070,524,622,202,493,156,2207,789,1976,489,660,125,429,344,630,974,478,645,275,390,148,2192,0,0,0,0,0,0,19,13,32,9,7,10,6,11,10,6475,110507,"EnergySolutions Arena"
3,"WNBA","UTA","SAS","WE","",3,"Y",0,"W","","","Utah Starzz",843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720,"EnergySolutions Arena"
1,"WNBA","WAS","WAS","EA","",4,"Y",0,"L","","","Washington Mystics",832,1813,403,578,109,335,300,646,946,521,597,245,506,126,2176,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,2221,0,0,0,0,0,0,14,18,32,7,9,7,9,13,8,6400,244134,"Verizon Center"
2,"WNBA","WAS","WAS","EA","",8,"N",0,"","","","Washington Mystics",739,1915,333,504,117,418,356,699,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,331,737,1068,487,543,261,454,103,2075,0,0,0,0,0,0,10,22,32,8,8,2,14,4,17,6500,246667,"Verizon Center"
3,"WNBA","WAS","WAS","EA","",3,"Y",0,"W","","","Washington Mystics",806,1910,359,478,164,443,330,708,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,309,680,989,442,570,237,441,101,2116,0,0,0,0,0,0,17,15,32,9,7,8,8,12,9,6450,259237,"Verizon Center"
4,"WNBA","WAS","WAS","EA","",7,"N",0,"","","","Washington Mystics",896,2191,381,507,157,505,382,703,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,334,781,1115,591,565,251,468,119,2498,0,0,0,0,0,0,9,25,34,3,14,6,11,7,17,6875,238710,"Verizon Center"
5,"WNBA","WAS","WAS","EA","",4,"Y",0,"L","","","Washington Mystics",873,2088,474,661,105,283,337,726,1063,467,652,255,424,128,2325,864,2013,510,686,146,425,336,770,1106,534,627,237,492,111,2384,0,0,0,0,0,0,17,17,34,11,6,6,11,9,11,6850,214448,"Verizon Center"
6,"WNBA","WAS","WAS","EA","",5,"N",0,"","","","Washington Mystics",847,1968,388,546,181,510,266,677,943,517,697,260,435,76,2263,833,1872,489,648,150,433,267,757,1024,545,638,205,504,108,2305,0,0,0,0,0,0,16,18,34,10,7,6,11,9,11,6900,171501,"Verizon Center"
7,"WNBA","WAS","WAS","EA","",4,"Y",0,"L","","","Washington Mystics",1016,2199,528,715,187,522,330,770,1100,576,784,306,541,113,2747,909,2102,635,851,204,553,321,720,1041,583,687,252,573,89,2657,0,0,0,0,0,0,18,16,34,13,4,5,12,12,8,6850,133255,"Verizon Center"
8,"WNBA","WAS","WAS","EA","",5,"N",0,"","","","Washington Mystics",877,2170,668,839,163,528,335,783,1118,472,763,282,571,133,2585,924,2216,616,801,175,520,383,825,1208,549,762,256,579,103,2639,0,0,0,0,0,0,16,18,34,8,9,8,9,8,12,6900,133255,"Verizon Center"
9,"WNBA","WAS","WAS","EA","",6,"N",0,"","","","Washington Mystics",885,2131,435,659,163,460,362,770,1132,483,757,241,637,93,2368,929,2096,563,760,180,528,306,787,1093,542,708,314,530,146,2601,0,0,0,0,0,0,10,24,34,6,11,4,13,6,14,6825,154637,"Verizon Center"
10,"WNBA","WAS","WAS","EA","",4,"Y",0,"L","","","Washington Mystics",933,2205,580,827,139,426,388,803,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,322,789,1111,524,778,315,576,156,2622,0,0,0,0,0,0,16,18,34,11,6,5,12,10,12,6875,192747,"Verizon Center"
