name,code
0,abrossv01w
1,adamsjo01w
2,aguilel01w
3,ajavoma01w
4,aldrima01w
5,alhalta01w
6,allench01w
7,amachma01w
8,ambermo01w
9,anderam01w
10,anderch01w
11,anderjo01w
12,anderke01w
13,andrame01w
14,anosini01w
15,arcaija01w
16,askamma01w
17,atkinla01w
18,atunrmo01w
19,augusse01w
20,aycocan01w
21,azizle01w
22,azzije01w
23,badertr01w
24,bakersh01w
25,balesal01w
26,banchrh01w
27,baranel01w
28,barksla01w
29,barnead01w
30,barnequ01w
31,batkosu01w
32,batteja01w
33,battlas01w
34,bauerca01w
35,beardal01w
36,beckki01w
37,bennije01w
38,berezva01w
39,berthlu01w
40,beviltu01w
41,bibbyje01w
42,bibrzag01w
43,birdsu01w
44,bjorkte01w
45,blackch01w
46,blackde01w
47,blodgci01w
48,blueni01w
49,blueoc01w
50,bobbish01w
51,boddiwh01w
52,boltoru01w
53,bondla01w
54,bonfisu01w
55,bonnede01w
56,bowenli01w
57,boydca01w
58,braxtka01w
59,brazian01w
60,bristre01w
61,brogami01w
62,brondsa01w
63,brownco01w
64,browned01w
65,brownki01w
66,brownru01w
67,brumfma01w
68,brungje01w
69,brunsre01w
70,bullevi01w
71,burgean01w
72,burgeli01w
73,burraal01w
74,burseja01w
75,buttsta01w
76,byearla01w
77,campbed01w
78,campbmi01w
79,cantydo01w
80,careyja01w
81,carsoes01w
82,carteam01w
83,cashsw01w
84,cassija01w
85,castriz01w
86,catchta01w
87,caufila01w
88,chambco01w
89,chanequ01w
90,chapmji01w
91,choneka01w
92,chriska01w
93,chrissh01w
94,cironkr01w
95,clearmi01w
96,clinest01w
97,coggicl01w
98,cokermo01w
99,colemco01w
100,colemma01w
101,colleka01w
102,consuca01w
103,coopeca01w
104,coopecy01w
105,crawlsy01w
106,crockda01w
107,crockwi01w
108,cronika01w
109,cunnibe01w
110,cunnida01w
111,currimo01w
112,curryed01w
113,dalesst01w
114,daleygr01w
115,darlihe01w
116,davenje01w
117,davisbr01w
118,davisde01w
119,davista02w
120,deforan01w
121,derevje01w
122,desouer01w
123,dickeke01w
124,dillata01w
125,dixonta01w
126,donapbe01w
127,doronsh01w
128,dossaci01w
129,douglka01w
130,duffyme01w
131,dupreca01w
132,dydekma01w
133,edwarmi01w
134,edwarsi01w
135,edwarte01w
136,edwarto01w
137,elysh01w
138,enissh01w
139,erbsu01w
140,ervinla01w
141,fallotr01w
142,farriba01w
143,feastal01w
144,feifesu01w
145,ferdima01w
146,fernama01w
147,ferrama01w
148,figgsuk01w
149,firsool01w
150,floremi01w
151,flukety01w
152,folklkr01w
153,fordch01w
154,fordki01w
155,fordst01w
156,fowlesy01w
157,francde01w
158,frankaq01w
159,frazeme01w
160,fresest01w
161,frettla01w
162,friertr01w
163,frohlli01w
164,futreca01w
165,gaithka01w
166,garcibe01w
167,gardike01w
168,gardnan01w
169,garnean01w
170,gaydeco01w
171,gearlka01w
172,gibsoke01w
173,gilloje01w
174,gilmous01w
175,gisseka01w
176,givench01w
177,gomisem01w
178,goodsad01w
179,goringi01w
180,gortmsh01w
181,granter01w
182,grecomi01w
183,greenci01w
184,grginve01w
185,griffyo01w
186,groomla01w
187,grubigo01w
188,grudasa01w
189,hairska01w
190,hallam01w
191,hallvi01w
192,hammobe01w
193,hamzoro01w
194,hardili01w
195,harpela01w
196,harrido01w
197,harrili01w
198,harrokr01w
199,haydeva01w
200,haynikr01w
201,headde01w
202,hendene01w
203,hendetr01w
204,henniso01w
205,herriam01w
206,hibbeka01w
207,hicksje01w
208,hillec01w
209,hledeko01w
210,hodgedo01w
211,hodgero01w
212,hoffmeb01w
213,holdsch01w
214,hollake01w
215,holliqu01w
216,holmejo01w
217,holmese01w
218,holtam01w
219,hopeky01w
220,hornbal01w
221,houstch01w
222,humphta01w
223,irvinsa01w
224,ivanyda01w
225,iveyni01w
226,jacksde01w
227,jacksgw01w
228,jacksla01w
229,jacksta01w
230,jacksta02w
231,jacksti02w
232,jacobam01w
233,jamesta01w
234,januabr01w
235,jekaban01w
236,joensca01w
237,johnsad01w
238,johnsch01w
239,johnsja01w
240,johnsla01w
241,johnsni01w
242,johnspo01w
243,johnssh01w
244,johnste01w
245,johnsti01w
246,johnsvi01w
247,jonesas01w
248,jonesch01w
249,jonesja01w
250,jonesla01w
251,jonesme01w
252,kellycr01w
253,kingbsu01w
254,kingija01w
255,klimezu01w
256,koehnla01w
257,korstil01w
258,kostaan01w
259,kostita01w
260,kraayca01w
261,kubikni01w
262,lacyje01w
263,lacyve01w
264,lambesh01w
265,lambmo01w
266,langhcr01w
267,larkier01w
268,lassiam01w
269,lattaiv01w
270,lawsoed01w
271,lawsoka01w
272,lazicka01w
273,lehnish01w
274,lennobe01w
275,leslili01w
276,leuchye01w
277,levanni01w
278,lewista01w
279,lewisty01w
280,liebena01w
281,littlca01w
282,lloydan01w
283,lobore01w
284,lovelst01w
285,luckepa01w
286,luzhe01w
287,lyttlsa01w
288,mabikmw01w
289,macchla01w
290,machacl01w
291,mahonme01w
292,mahonsh01w
293,maigaha01w
294,malcona01w
295,malloso01w
296,maltsev01w
297,mannish01w
298,mannkr01w
299,mapprh01w
300,marcimi01w
301,martima01w
302,martinu01w
303,mascira01w
304,matteca01w
305,maxwemo01w
306,mazzake01w
307,mccaibr01w
308,mccaiti01w
309,mccanra01w
310,mccarja01w
311,mccarst01w
312,mcconsu01w
313,mccouan01w
314,mccrani01w
315,mccrini01w
316,mcculda01w
317,mcgheca01w
318,mckivte01w
319,mcwilta01w
320,melvich01w
321,mendigi01w
322,miaomi01w
323,millebr01w
324,milleco01w
325,milleke01w
326,millsta01w
327,miltode01w
328,mitchle01w
329,moeggli01w
330,moisead01w
331,montaan01w
332,montgre01w
333,mooreja01w
334,mooreje01w
335,moorelo01w
336,moorena01w
337,mooreta01w
338,moosca01w
339,mosbybe01w
340,moweje01w
341,mulitna01w
342,murphsh01w
343,nagyan01w
344,nanch01w
345,ndiayas01w
346,ndongem01w
347,nemcoev01w
348,nevescl01w
349,newtoch01w
350,ngarsch01w
351,ngoyibe01w
352,nieuwma01w
353,nnamach01w
354,nolande01w
355,nygaava01w
356,ogayu01w
357,ohldeni01w
358,oneilkr01w
359,osipoir01w
360,owenhe01w
361,owenssh01w
362,pageda01w
363,pagemu01w
364,paigeyo01w
365,paliesa01w
366,palmewe01w
367,parisco01w
368,parkeca01w
369,pascafl01w
370,pavlimi01w
371,payeka01w
372,penicti01w
373,pennjo01w
374,perkiji01w
375,pettibr01w
376,philler01w
377,phillta01w
378,pierspl01w
379,pondeca01w
380,potthan01w
381,powelel01w
382,powelni01w
383,pricear01w
384,pridely01w
385,pringla01w
386,queenbr01w
387,quiglal01w
388,quinnno01w
389,quinnte01w
390,radunha01w
391,raglafe01w
392,randase01w
393,rasmukr01w
394,raymost01w
395,reddja01w
396,reedbr01w
397,reidtr01w
398,rileyru01w
399,rizzoje01w
400,robinas01w
401,robincr01w
402,robinre01w
403,rolanja01w
404,rossad01w
405,rushle01w
406,salesny01w
407,sampsch01w
408,samsh01w
409,sanchis01w
410,sandeam01w
411,sanfona01w
412,sanniol01w
413,santoal01w
414,santoke01w
415,sarenra01w
416,sauerpa01w
417,saundja01w
418,saureau01w
419,schumke01w
420,schwege01w
421,scottol01w
422,shakiel01w
423,sharpkb01w
424,shielas01w
425,slaisma01w
426,slauggw01w
427,slavtge01w
428,smithai01w
429,smithbr01w
430,smithch02w
431,smithch03w
432,smithcr01w
433,smithje01w
434,smithka01w
435,smithki01w
436,smithla01w
437,smithta01w
438,smithty01w
439,smithwa01w
440,snellbe01w
441,snowmi01w
442,spencsi01w
443,spornra01w
444,stafftr01w
445,staleda01w
446,stansti01w
447,starbka01w
448,stedika01w
449,stepama01w
450,stephst01w
451,stevema01w
452,stileja01w
453,stinsan01w
454,stiresh01w
455,stockta01w
456,streiju01w
457,strotan01w
458,summela01w
459,sun-mju01w
460,suttota01w
461,swanike01w
462,swoopsh01w
463,tateso01w
464,tauradi01w
465,tayloli01w
466,taylope01w
467,teaslni01w
468,teilaza01w
469,terryka01w
470,thomaca01w
471,thomach01w
472,thomala01w
473,thomast01w
474,thompal01w
475,thompti01w
476,thorbsh01w
477,thorner01w
478,threaro01w
479,tilliic01w
480,timmsmi01w
481,tolivkr01w
482,torniel01w
483,torrele01w
484,traviti01w
485,tremich01w
486,turneba01w
487,tuvicsl01w
488,udokamf01w
489,ujhelpe01w
490,umoh-it01w
491,valdeam01w
492,vangomi01w
493,vaughki01w
494,vaughkr01w
495,vealkr01w
496,vilipda01w
497,vodicka01w
498,vodopna01w
499,walkeas01w
500,walkeay01w
501,walkede01w
502,walkema01w
503,walsema01w
504,washico01w
505,washito01w
506,wautean01w
507,weathte01w
508,webbum01w
509,weberma01w
510,weckeke01w
511,whaleli01w
512,whitede01w
513,whiteer01w
514,whiteta01w
515,whitiva01w
516,whitmta01w
517,whittje01w
518,whittkh01w
519,wickssu01w
520,widemja01w
521,wiggica01w
522,wilkibr01w
523,williad01w
524,willian01w
525,willibe01w
526,willile01w
527,willile02w
528,willili01w
529,willina01w
530,williri01w
531,willish01w
532,willita01w
533,willito01w
534,williwe01w
535,wilsoam01w
536,wirthch01w
537,wisdoli01w
538,witheso01w
539,wolteka01w
540,wolvean01w
541,wrighsh01w
542,wrighta01w
543,wyckobr01w
544,wynneda01w
545,yamasli01w
546,yilmane01w
547,youngca01w
548,youngso01w
549,youngta01w
550,zakalok01w
551,zarafr01w
552,zellosh01w
553,zirkozu01w
554,zollsh01w
555,MIN
556,CON
557,UTA
558,HOU
559,WAS
560,ORL
561,SAC
562,NYL
563,SEA
564,SAS
565,CHA
566,CLE
567,MIA
568,LAS
569,IND
570,DET
571,ATL
572,POR
573,PHO
574,CHI
575,Connecticut
576,New Mexico
577,George Washington
578,Rutgers
579,UNC Charlotte
580,DePaul
581,Notre Dame
582,0
583,Arizona State
584,Brigham Young
585,Vanderbilt
586,Wisconsin
587,Old Dominion
588,Tennessee
589,none
590,North Carolina
591,Texas A&M
592,Louisiana State
593,Kansas
594,Syracuse
595,Stanford
596,Boise State
597,Georgia
598,Duke
599,Washington
600,Academy of Sport Moscow
601,Arizona
602,Indiana
603,Montana State
604,Rice
605,Colorado
606,St. Joseph's
607,Maine
608,UCLA
609,Miami (FL)
610,Auburn
611,Missouri
612,Michigan State
613,Texas Tech
614,U. Western Sydney
615,Texas
616,Furman
617,Penn State
618,Georgetown
619,Maryland
620,Alabama
621,Louisiana Tech
622,Tulane
623,USC
624,Oklahoma
625,North Carolina State
626,UC Santa Barbara
627,Arkansas
628,Illinois State
629,Australian Institute of Sport
630,Kansas State
631,Ohio State
632,Iowa
633,Purdue
634,Baylor
635,Colorado State
636,Oregon
637,Florida State
638,Nebraska
639,George Mason
640,Temple
641,Harvard
642,Georgia Tech
643,Iowa State
644,Liberty
645,Duquesne
646,Virginia Tech
647,Howard
648,Mississippi
649,Middle Tennessee State
650,North Carolina State (jr-sr)
651,South Carolina
652,Florida Atlantic
653,Florida
654,Northern Illinois
655,Virginia Commonwealth
656,UNLV
657,Texas Christian
658,Florida International
659,Alabama-Birmingham
660,Boston College
661,Wisconsin-Green Bay
662,Memphis
663,Michigan
664,Houston
665,Western Kentucky
666,Oregon State
667,Pepperdine
668,West Virginia
669,Xavier
670,Providence
671,Kentucky
672,Minnesota
673,Louisville
674,St. Edwards
675,Utah
676,Long Beach State
677,Southern Nazarene
678,Valparaiso
679,Virginia
680,Denver
681,Central Florida
682,Seton Hall
683,Southern Mississippi
684,SE Oklahoma State
685,Hawai'i
686,Cincinnati
687,SW Tennessee CC
688,Mississippi State
689,Delaware
690,University of Sydney
691,California
692,Missouri State
693,Arkansas State
694,Western Illinois
695,Flordia
696,Clemson
697,Pittsburgh
698,Iona
699,Illinois
700,James Madison
701,WE
702,EA
703,adairje01w
704,adamsda01w
705,appelja01w
706,ayimmi01w
707,bjorkan01w
708,brelaje01w
709,camba01w
710,charlti01w
711,cheekjo01w
712,chestfe01w
713,chriska02w
714,colsosy01w
715,dunlavi01w
716,graylal01w
717,greenka01w
718,griffke01w
719,harriam01w
720,hightal01w
721,ibekwif01w
722,jonesma01w
723,kobryew01w
724,lacyna01w
725,lavenja01w
726,mccrada01w
727,monroja01w
728,montgal01w
729,moorema01w
730,oheaje01w
731,olajuab01w
732,pederka01w
733,phillpo01w
734,phillta02w
735,pohleje01w
736,princep01w
737,reedch01w
738,rileyan01w
739,robinda01w
740,swordca01w
741,thomaja01w
742,thomakr01w
743,vandeco01w
744,wrighmo01w
745,TUL
746,nan
747,UTEP (sr)
748,Arkansas-Little Rock
749,Oklahoma State
750,Gonzaga
